price,total_surface,covered_surface,rooms,bathrooms,garages,bedrooms,toilettes,antiquity,zone
USD 1.150.000,470m²,,8,4,,5,1,30,",  Belgrano, Capital Federal"
USD 465.000,500m²,233m²,,4,,3,,,",  Castaños, Nordelta"
USD 490.000,200m²,200m²,0,3,1,4,,13,",  Las Glorietas, Nordelta"
USD 700.000,260m²,211m²,5,3,1,4,1,10,",  Nuñez, Capital Federal"
USD 550.000,1120m²,300m²,6,3,,4,1,10,",  Santa María de Tigre, Rincón de Milberg"
,,,,,,,,,
USD 400.000,512m²,206m²,6,3,,3,1,A estrenar,",  Castaños, Nordelta"
USD 990.000,438m²,304m²,4,3,,4,1,A estrenar,",  Olivos, Vicente López"
,,,,,,,,,
USD 775.000,335m²,335m²,7,5,,4,1,13,",  Belgrano, Capital Federal"
USD 670.000,1050m²,234m²,,3,,4,,,",  El Encuentro, General Pacheco"
USD 270.000,92m²,90m²,4,,1,2,1,15,",  Olivos, Vicente López"
USD 349.000,148m²,113m²,4,,,3,1,1,",  La Lucila, Vicente López"
USD 315.000,840m²,185m²,0,3,,3,1,A estrenar,",  San Rafael, Villanueva"
,,,,,,,,,
USD 315.000,190m²,170m²,7,2,1,3,1,30,",  El Talar de Martínez, San Isidro"
,,,,,,,,,
,,,,,,,,,
USD 290.000,252m²,130m²,5,,1,4,1,45,",  Olivos, Vicente López"
USD 249.000,161m²,71m²,4,,1,2,,60,",  Olivos, Vicente López"
USD 455.000,550m²,171m²,5,3,,3,1,A estrenar,",  Los Alisos, Nordelta"
USD 485.000,527m²,178m²,5,3,1,3,1,2016,",  Los Lagos, Nordelta"
USD 490.000,501m²,196m²,5,3,1,3,1,A estrenar,",  Los Lagos, Nordelta"
USD 425.000,192m²,168m²,6,2,1,4,1,14,",  Olivos, Vicente López"
USD 460.000,335m²,335m²,0,3,1,0,,40,",  Flores, Capital Federal"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Consultar precio,2004m²,,10,5,,6,,10,",  Los Castores, Nordelta"
USD 550.000,893m²,312m²,5,3,,4,1,10,",  Ayres del Pilar, Pilar"
USD 640.000,466m²,306m²,4,4,,3,1,30,",  Olivos, Vicente López"
USD 400.000,826m²,193m²,5,3,,3,1,A estrenar,",  San Isidro Labrador, Villanueva"
USD 980.000,1000m²,340m²,6,4,,4,1,10,",  Los Castores, Nordelta"
Consultar precio,1130m²,576m²,7,6,,3,1,10,",  La Isla, Nordelta"
USD 1.750.000,780m²,550m²,7,7,,4,1,A estrenar,",  Belgrano, Capital Federal"
USD 550.000,261m²,235m²,5,3,,4,1,25,",  Martínez, San Isidro"
USD 750.000,1200m²,400m²,5,4,,4,1,A estrenar,",  San Juan (Tigre), Villanueva"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
USD 640.000,328m²,280m²,6,3,,3,1,A estrenar,",  Martínez, San Isidro"
USD 1.650.000,1185m²,520m²,6,4,,4,1,A estrenar,",  El Golf, Nordelta"
USD 530.000,,190m²,,3,,3,,,",  Ayres del Pilar, Pilar"
USD 350.000,497m²,165m²,4,3,,3,1,A estrenar,",  Castaños, Nordelta"
USD 380.000,600m²,193m²,5,3,,3,1,5,",  San Isidro Labrador, Villanueva"
,,,,,,,,,
USD 255.000,219m²,100m²,4,,1,3,,60,",  Olivos, Vicente López"
,,,,,,,,,
USD 280.000,90m²,90m²,3,,,2,,10,",  Villa del Parque, Capital Federal"
USD 495.000,280m²,205m²,5,3,,4,1,30,",  Olivos, Vicente López"
USD 790.000,337m²,240m²,6,4,,3,1,36,",  Belgrano, Capital Federal"
USD 690.000,795m²,314m²,7,5,,5,1,14,",  Talar del Lago I, El Talar de Pacheco"
USD 895.000,760m²,300m²,,6,,5,,,",  Los Lagos, Nordelta"
,,,,,,,,,
USD 238.000,164m²,82m²,4,,1,2,,55,",  Olivos, Vicente López"
USD 405.000,796m²,197m²,5,3,,3,1,A estrenar,",  San Rafael, Villanueva"
USD 106.000,550m²,117m²,4,3,1,3,,A estrenar,",  San Eduardo, Pilar del Este"
USD 360.000,800m²,155m²,5,2,1,3,,10,",  Funes, Santa Fe"
USD 1.150.000,348m²,456m²,8,5,,5,1,A estrenar,",  Belgrano, Capital Federal"
,,,,,,,,,
USD 449.000,550m²,200m²,4,3,,3,1,A estrenar,",  Castaños, Nordelta"
USD 260.000,112m²,112m²,4,2,1,3,,40,",  Olivos, Vicente López"
USD 800.000,1000m²,285m²,5,5,1,4,1,10,",  Las Caletas, Nordelta"
,,,,,,,,,
USD 890.000,778m²,259m²,5,3,,3,1,5,",  Los Alisos, Nordelta"
USD 625.000,447m²,264m²,5,2,,5,1,20,",  Olivos, Vicente López"
,,,,,,,,,
USD 470.000,534m²,200m²,,4,,4,,,",  Castaños, Nordelta"
USD 490.000,567m²,208m²,5,3,,3,1,A estrenar,",  Los Alisos, Nordelta"
USD 438.000,184m²,184m²,4,4,,3,1,38,",  Belgrano, Capital Federal"
,,,,,,,,,
Consultar precio,1195m²,608m²,8,7,,4,1,A estrenar,",  Belgrano, Capital Federal"
,,,,,,,,,
USD 490.000,916m²,226m²,6,3,,4,1,A estrenar,",  San Isidro Labrador, Villanueva"
USD 1.450.000,1240m²,730m²,10,4,,6,,25,",  Vicente López, Vicente López"
USD 880.000,,328m²,,6,,5,,,",  La Lomada, Pilar"
USD 799.000,490m²,265m²,4,3,,3,1,10,",  Vicente López, GBA Norte"
USD 950.000,620m²,425m²,6,4,,5,1,A estrenar,",  Colegiales, Capital Federal"
,,,,,,,,,
USD 1.200.000,350m²,350m²,5,5,1,4,1,A estrenar,",  Tortugas Country Club, Manuel Alberti"
USD 421.000,217m²,217m²,5,2,,4,1,40,",  Villa Devoto, Capital Federal"
USD 520.000,752m²,286m²,6,4,,4,1,6,",  La Comarca, Tigre"
,,,,,,,,,
USD 189.000,145m²,145m²,4,3,,3,,A estrenar,",  Claros del Bosque, Córdoba"
USD 369.000,1178m²,170m²,4,3,,3,1,3,",  San Gabriel, Villanueva"
USD 1.500.000,1340m²,428m²,10,7,,4,1,8,",  Los Castores, Nordelta"
,,,,,,,,,
,,,,,,,,,
USD 595.000,640m²,249m²,5,3,,3,1,A estrenar,",  Los Lagos, Nordelta"
USD 1.490.000,874m²,415m²,,7,,4,,,",  Lagos del Golf, Nordelta"
USD 945.000,979m²,309m²,8,4,,4,1,A estrenar,",  Lagos del Golf, Nordelta"
USD 449.000,800m²,185m²,5,3,,3,1,4,",  San Francisco, Villanueva"
USD 330.000,153m²,153m²,,2,1,3,,,",  Villanueva, Tigre"
USD 1.900.000,803m²,803m²,10,3,,5,1,15,",  Belgrano, Capital Federal"
USD 498.000,886m²,195m²,5,2,,3,1,A estrenar,",  Ayres Plaza, Pilar"
,,,,,,,,,
,,,,,,,,,
USD 990.000,655m²,330m²,7,3,,3,1,32,",  Belgrano, Capital Federal"
USD 850.000,991m²,365m²,7,5,,4,,2,",  Las Liebres, Pilar"
USD 425.000,177m²,150m²,5,3,1,4,1,50,",  Belgrano, Capital Federal"
USD 435.000,880m²,180m²,5,3,,3,,14,",  Santa Bárbara, Tigre"
USD 2.980.000,461m²,461m²,,4,,4,,25,",  Palermo Chico, Palermo"
,,,,,,,,,
USD 185.000,180m²,185m²,5,3,,3,,A estrenar,",  Córdoba, Córdoba"
,,,,,,,,,
USD 570.000,265m²,245m²,,4,,3,,,",  Los Alisos, Nordelta"
Consultar precio,820m²,400m²,8,5,,4,1,5,",  Los Lagos, Nordelta"
USD 288.000,910m²,161m²,4,3,,3,,,",  San Andrés Country Club, Dique Luján"
USD 718.000,758m²,268m²,,4,,4,,,",  Castaños, Nordelta"
USD 670.000,240m²,240m²,4,3,1,3,1,A estrenar,",  Belgrano, Capital Federal"
USD 570.000,293m²,288m²,6,4,,4,1,30,",  Villa Urquiza, Capital Federal"
,,,,,,,,,
,,,,,,,,,
USD 195.000,131m²,103m²,3,2,1,2,,1,",  Carapachay, Vicente López"
USD 498.000,800m²,275m²,4,3,1,3,1,16,",  Barrancas del Lago, Nordelta"
USD 51.900,263m²,,5,2,1,3,,A estrenar,",  Los Granados, Córdoba"
USD 1.850.000,440m²,385m²,8,4,,4,1,2,",  Belgrano, Capital Federal"
USD 490.000,,223m²,,3,1,3,,,",  La Lomada, Pilar"
USD 540.000,544m²,225m²,5,3,,4,1,5,",  Los Sauces, Nordelta"
,,,,,,,,,
,,,,,,,,,
USD 270.000,144m²,113m²,4,,1,2,1,A estrenar,",  Olivos, Vicente López"
USD 475.000,524m²,202m²,,3,,3,,,",  Castaños, Nordelta"
USD 1.270.000,976m²,400m²,6,6,,4,1,4,",  Lagos del Golf, Nordelta"
USD 495.000,498m²,210m²,5,2,,4,1,A estrenar,",  Las Tipas, Nordelta"
USD 495.000,270m²,230m²,,5,1,3,,,",  San Isidro, San Isidro"
USD 610.000,875m²,396m²,5,5,1,3,1,16,",  Santa Bárbara, Tigre"
USD 325.000,503m²,164m²,5,3,,3,1,A estrenar,",  Castaños, Nordelta"
USD 400.000,750m²,200m²,5,3,,3,,A estrenar,",  Las Liebres, Pilar"
,,,,,,,,,
USD 465.000,413m²,194m²,0,2,,3,1,23,",  Lomas de San Isidro, San Isidro"
USD 1.380.000,1160m²,302m²,5,3,,3,,9,",  Los Castores, Nordelta"
USD 285.000,150m²,115m²,4,,,2,1,9,",  Olivos, Vicente López"
,,,,,,,,,
,,,,,,,,,
USD 269.000,420m²,162m²,5,3,1,4,,En construcción,",  María Eugenia Residences & Village, Moreno"
USD 258.000,212m²,95m²,3,,1,2,,60,",  Olivos, Vicente López"
USD 1.111.111,350m²,350m²,6,4,1,5,1,100,",  Belgrano, Capital Federal"
USD 205.000,108m²,82m²,3,2,,2,1,2,",  Milberg Town, Rincón de Milberg"
,,,,,,,,,
USD 1.050.000,1100m²,370m²,7,6,,4,1,A estrenar,",  Albanueva, Rincón de Milberg"
USD 750.000,460m²,400m²,0,3,,5,,A estrenar,",  Santa María de Tigre, Rincón de Milberg"
,,,,,,,,,
USD 475.000,255m²,198m²,0,3,1,4,1,A estrenar,",  Castaños, Nordelta"
USD 550.000,238m²,184m²,4,3,1,3,1,,",  Belgrano, Capital Federal"
USD 420.000,2100m²,400m²,3,4,1,3,,7,",  Río Ceballos, Córdoba"
USD 295.000,800m²,197m²,,5,,4,,9,",  Sausalito, Pilar"
USD 375.000,884m²,196m²,4,3,,3,1,A estrenar,",  Santa Catalina, Villanueva"
,,,,,,,,,
,,,,,,,,,
USD 1,816m²,660m²,,5,,4,,,",  Lomas de San Isidro, San Isidro"
USD 748.000,878m²,368m²,5,5,1,6,1,10,",  Los Castores, Nordelta"
USD 448.000,220m²,170m²,5,2,1,3,1,40,",  Olivos, Vicente López"
USD 445.000,466m²,197m²,5,2,,4,1,A estrenar,",  Las Tipas, Nordelta"
,,,,,,,,,
USD 870.000,660m²,350m²,6,6,1,5,1,30,",  Acassuso, San Isidro"
